date,district,rainfall_mm
2019-04-26,adilabad,0.018571426993922183
2019-04-27,adilabad,0.06345864346152857
2019-04-28,adilabad,0.035639096023444845
2019-04-29,adilabad,0.010977443895841899
2019-04-30,adilabad,0.01879699068858211
2019-05-01,adilabad,0.15902255352278402
2019-05-02,adilabad,0.01503759219234151
2019-05-03,adilabad,0.08330827727353662
2019-05-04,adilabad,0.0
2019-05-05,adilabad,0.0009022556189307593
2019-04-26,aizawl,0.0
2019-04-27,aizawl,0.2483870752396122
2019-04-28,aizawl,12.170162077872984
2019-04-29,aizawl,0.17854838217458419
2019-04-30,aizawl,0.0677419324075022
2019-05-01,aizawl,0.15451612780171056
2019-05-02,aizawl,0.26403224083685106
2019-05-03,aizawl,8.306290165070564
2019-05-04,aizawl,2.7519354051159275
2019-05-05,aizawl,0.008548386635318879
2019-04-26,akola,0.0007777777810891469
2019-04-27,akola,0.0
2019-04-28,akola,0.0
2019-04-29,akola,0.0
2019-04-30,akola,0.0
2019-05-01,akola,0.0045555555158191255
2019-05-02,akola,0.10377777947319879
2019-05-03,akola,0.12677777608235677
2019-05-04,akola,0.0
2019-05-05,akola,0.0
2019-04-26,alipurduar,5.753400268554688
2019-04-27,alipurduar,14.305400390625
2019-04-28,alipurduar,5.099599914550781
2019-04-29,alipurduar,0.5005999755859375
2019-04-30,alipurduar,10.27159912109375
2019-05-01,alipurduar,30.68239990234375
2019-05-02,alipurduar,26.78559814453125
2019-05-03,alipurduar,27.99280029296875
2019-05-04,alipurduar,29.16219970703125
2019-05-05,alipurduar,4.063399658203125
2019-04-26,allahabad,0.0
2019-04-27,allahabad,0.0
2019-04-28,allahabad,0.0
2019-04-29,allahabad,0.0
2019-04-30,allahabad,0.0
2019-05-01,allahabad,0.0
2019-05-02,allahabad,0.0
2019-05-03,allahabad,0.18288889990912544
2019-05-04,allahabad,0.000444444434510337
2019-05-05,allahabad,0.0
2019-04-26,ambedkarnagar,0.0
2019-04-27,ambedkarnagar,0.0
2019-04-28,ambedkarnagar,0.0
2019-04-29,ambedkarnagar,0.0
2019-04-30,ambedkarnagar,0.0
2019-05-01,ambedkarnagar,0.0
2019-05-02,ambedkarnagar,0.0
2019-05-03,ambedkarnagar,0.0
2019-05-04,ambedkarnagar,0.0
2019-05-05,ambedkarnagar,0.0
2019-04-26,amethi,0.0
2019-04-27,amethi,0.0
2019-04-28,amethi,0.0
2019-04-29,amethi,0.0
2019-04-30,amethi,0.0
2019-05-01,amethi,0.0
2019-05-02,amethi,0.0
2019-05-03,amethi,0.0
2019-05-04,amethi,0.0
2019-05-05,amethi,0.0
2019-04-26,amravati,0.01796296128520259
2019-04-27,amravati,0.0013888889440783747
2019-04-28,amravati,0.00018518518104597374
2019-04-29,amravati,0.002129629530288555
2019-04-30,amravati,0.0
2019-05-01,amravati,0.0002777777715689606
2019-05-02,amravati,0.08773147618329083
2019-05-03,amravati,0.03370370246745922
2019-05-04,amravati,0.0
2019-05-05,amravati,0.0006018518297760575
2019-04-26,anugul,0.052767855780465264
2019-04-27,anugul,0.006160714264426913
2019-04-28,anugul,0.0
2019-04-29,anugul,0.0027678568980523516
2019-04-30,anugul,0.0
2019-05-01,anugul,0.28294641630990164
2019-05-02,anugul,22.755623953683035
2019-05-03,anugul,43.430267333984375
2019-05-04,anugul,0.02374999863760812
2019-05-05,anugul,0.588571412222726
2019-04-26,anuppur,0.0
2019-04-27,anuppur,0.0
2019-04-28,anuppur,0.0
2019-04-29,anuppur,0.0
2019-04-30,anuppur,0.008124999701976776
